WB1M,WB1Y,WB2,WB3,WB4,WB5,WB7,WAGE,WB8,MT6,MT9,MT10,MT13A,MT13B,MT13C,MT13D,MT13E,MT13X,CM1,CM5A,CM5B,CM6,CM7A,CM7B,CM8,CM9A,CM9B,CM10,CM12M,DB1,DB2,MN20,MN24,CP1,CP2,CP2A,CP5,DV1A,DV1B,DV1C,DV1D,DV1E,DV1F,DV1G,DV1H,DV1I,MA1,MA5,MA6,MA8M,MA8Y,MA9,SB1,SB14,SB15,HA1,HA2,HA3,HA4,HA5,HA6,HA7,HA8A,HA8B,HA8C,HA8BB,HA9,HA9A,HA10,HA11,HA12,HA12A,HA12B,HA12C,HA12D,HH7,WAGEM,MSTATUS,CEB,CSURV,CDEAD,wmweight,welevel,wscore,windex5
10,1996,17,Yes,Secondary,1,,15-19,Christianity,No,No,, , , , , , ,No,,,,,,No,,,0,,,,,,No,No,No,,No,Yes,Yes,Yes,No,No,Yes,No,Yes,"No, not in union",No,,,,,Never had intercourse,,,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,,Hhohho,,Never married/in union,0,0,0,.928641615324069,Secondary,-.9001946413466981,Poorest
12,1997,16,Yes,High,0,,15-19,Christianity,No,No,, , , , , , ,No,,,,,,No,,,0,,,,,,No,No,No,,No,No,No,No,No,No,No,No,No,"No, not in union",No,,,,,Never had intercourse,,,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,,Hhohho,,Never married/in union,0,0,0,.928641615324069,Higher,.1671247992408089,Middle
12,1996,17,Yes,High,2,,15-19,Christianity,Yes,Yes,Yes, , ,C, , , ,No,,,,,,No,,,0,,,,,,No,Yes,,,No,No,No,No,No,No,No,No,No,"No, not in union",No,,,,,14,,5,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,DK / Not sure / Depends,Yes,No,,Hhohho,,Never married/in union,0,0,0,.928641615324069,Higher,-.7994123352944851,Second
10,1997,16,Yes,Secondary,2,,15-19,Christianity,Yes,Yes,No, , , , , , ,No,,,,,,No,,,0,,,,,,No,No,No,,No,No,No,No,No,No,Yes,No,No,"No, not in union",No,,,,,Never had intercourse,,,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,DK / Not sure / Depends,Yes,No,,Hhohho,,Never married/in union,0,0,0,.8723603053044284,Secondary,-.0362008821366477,Middle
8,1996,18,Yes,Secondary,2,,15-19,Christianity,Yes,No,, , , , , , ,No,,,,,,No,,,0,,,,,,No,Yes,,,No,No,No,No,No,No,No,No,No,"No, not in union",No,,,,,18,,1,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,DK / Not sure / Depends,Yes,No,,Hhohho,,Never married/in union,0,0,0,.8723603053044284,Secondary,-.081952006445785,Middle
10,1996,17,Yes,Secondary,0,,15-19,Christianity,No,No,, , , , , , ,Yes,0,1,No,,,No,,,1,9,Yes,,Average,Yes,No,Yes,,,No,No,No,No,No,No,No,No,No,"Yes, living with a man",,,DK,2012,,15,,2,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,Hhohho,15,Currently married/in union,1,1,0,.8723603053044284,Secondary,.1294927269567974,Middle
8,1999,15,Yes,Secondary,3,,15-19,Christianity,Yes,No,, , , , , , ,No,,,,,,No,,,0,,,,,,No,No,No,,Yes,No,No,No,No,No,DK,No,No,"No, not in union",No,,,,,Never had intercourse,,,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,,Hhohho,,Never married/in union,0,0,0,1.043972168643004,Secondary,.0120771427208631,Middle
10,1995,18,Yes,Secondary,0,,15-19,Christianity,No,No,, , , , , , ,No,,,,,,No,,,0,,,,,,No,No,No,,No,No,No,No,No,No,No,No,No,"No, not in union",No,,,,,Never had intercourse,,,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,DK,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,Hhohho,,Never married/in union,0,0,0,1.043972168643004,Secondary,.3382301007364224,Fourth
1,1995,19,Yes,Tertiary,0,,15-19,Christianity,Yes,Yes,Yes,A, ,C, , , ,No,,,,,,No,,,0,,,,,,No,Yes,,,No,No,No,No,No,No,No,No,No,"No, not in union",No,,,,,19,,1,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,,Hhohho,,Never married/in union,0,0,0,1.043972168643004,Tertiary,1.286845177979376,Richest
3,1996,18,Yes,Secondary,0,,15-19,Christianity,No,No,, , , , , , ,Yes,0,1,No,,,No,,,1,3,Yes,,Smaller than average,Yes,No,Yes,,No,No,No,No,No,No,No,No,No,No,"No, not in union",No,,,,,16,,1,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,,Hhohho,,Never married/in union,1,1,0,1.043972168643004,Secondary,-.6579833198297472,Second
8,1999,15,Yes,Primary,6,Able to read whole sentence,15-19,Christianity,No,No,, , , , , , ,No,,,,,,No,,,0,,,,,,No,No,No,,No,No,No,No,No,No,No,No,No,"No, not in union",No,,,,,Never had intercourse,,,Yes,Yes,No,Yes,DK,No,Yes,Yes,Yes,DK,Yes,Yes,Yes,Yes,Yes,Yes,DK / Not sure / Depends,Yes,No,,Hhohho,,Never married/in union,0,0,0,1.043972168643004,Primary,.6388783606460844,Fourth
10,1998,15,Yes,Secondary,1,,15-19,Christianity,Yes,No,, , , , , , ,Yes,0,1,No,,,No,,,1,9,No,Later,Average,Yes,No,Yes,,,No,No,No,No,No,No,No,No,No,"No, not in union",No,,,,,13,,2,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,,Hhohho,,Never married/in union,1,1,0,1.043972168643004,Secondary,-.381699882974349,Second
11,1996,17,Yes,Secondary,2,,15-19,Christianity,No,Yes,Yes, , , , , , ,Yes,0,1,No,,,No,,,1,9,No,Later,Larger than average,Yes,No,No,No,,No,No,No,No,No,No,Yes,No,No,"Yes, living with a man",,,5,2014,,17,,1,Yes,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,Hhohho,17,Currently married/in union,1,1,0,.905912624739214,Secondary,1.567400471243369,Richest
10,1996,17,Yes,High,1,,15-19,Christianity,Yes,No,, , , , , , ,No,,,,,,No,,,0,,,,,,No,No,Missing,,No,No,No,No,No,No,No,No,No,"No, not in union",No,,,,,Never had intercourse,,,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Hhohho,,Never married/in union,0,0,0,.905912624739214,Higher,.8125839479272996,Fourth
1,1997,17,Yes,Secondary,1,,15-19,Christianity,No,No,, , , , , , ,No,,,,,,No,,,0,,,,,,No,No,No,,No,No,No,No,No,No,No,No,No,"No, not in union",No,,,,,Never had intercourse,,,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Hhohho,,Never married/in union,0,0,0,.905912624739214,Secondary,.8468705295770354,Fourth
4,1996,18,Yes,Secondary,2,,15-19,Christianity,Yes,No,, , , , , , ,Yes,0,1,No,,,No,,,1,4,No,Later,Average,Yes,No,Yes,,Yes,No,No,No,No,No,No,No,No,No,"No, not in union",No,,,,,17,,1,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Hhohho,,Never married/in union,1,1,0,.905912624739214,Secondary,.7912124015225452,Fourth
4,1995,19,Yes,Secondary,0,,15-19,Christianity,Yes,Yes,Yes,A, ,C, , , ,No,,,,,,No,,,0,,,,,,No,No,No,,No,No,No,No,No,No,No,No,No,"No, not in union",No,,,,,Never had intercourse,,,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,,Hhohho,,Never married/in union,0,0,0,.826446605025248,Secondary,1.681859684764417,Richest
2,1997,17,Yes,High,0,,15-19,Christianity,Yes,Yes,Yes,A, ,C, , , ,No,,,,,,No,,,0,,,,,,No,No,No,,No,No,No,No,No,No,No,No,No,"No, not in union",No,,,,,Never had intercourse,,,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,,Hhohho,,Never married/in union,0,0,0,.826446605025248,Higher,1.681859684764417,Richest
7,1997,17,Yes,Secondary,0,,15-19,Christianity,No,No,, , , , , , ,No,,,,,,No,,,0,,,,,,No,No,No,,No,No,No,No,No,No,No,No,No,"No, not in union",No,,,,,Never had intercourse,,,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,,Hhohho,,Never married/in union,0,0,0,.826446605025248,Secondary,.5951404131967775,Fourth
5,1996,18,Yes,High,0,,15-19,Christianity,Yes,No,, , , , , , ,No,,,,,,No,,,0,,,,,,No,No,No,,No,No,Yes,No,No,No,Yes,No,No,"No, not in union",No,,,,,Never had intercourse,,,Yes,Yes,No,Yes,DK,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,DK / Not sure / Depends,DK / Not sure / Depends,Yes,No,Hhohho,,Never married/in union,0,0,0,.826446605025248,Higher,.98303207999433,Richest
12,1995,18,Yes,Secondary,2,,15-19,Christianity,Yes,No,, , , , , , ,No,,,,,,No,,,0,,,,,,No,No,No,,No,No,No,No,No,No,No,No,No,"No, not in union",No,,,,,Never had intercourse,,,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,,Hhohho,,Never married/in union,0,0,0,1.002035485822654,Secondary,.0085540264027722,Middle
11,1998,15,Yes,Secondary,1,,15-19,Christianity,Yes,No,, , , , , , ,No,,,,,,No,,,0,,,,,,No,No,No,,No,No,No,No,No,No,No,No,No,"No, not in union",No,,,,,Never had intercourse,,,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,,Hhohho,,Never married/in union,0,0,0,1.002035485822654,Secondary,.0085540264027722,Middle
3,1997,17,Yes,Primary,4,Able to read whole sentence,15-19,Christianity,No,No,, , , , , , ,No,,,,,,No,,,0,,,,,,"Yes, currently pregnant",,Yes,,No,No,No,No,No,No,DK,No,No,"No, not in union",No,,,,,16,,1,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,DK / Not sure / Depends,DK / Not sure / Depends,No,,Hhohho,,Never married/in union,0,0,0,1.002035485822654,Primary,-.5904372044816939,Second
4,1996,18,Yes,Secondary,2,,15-19,Christianity,No,No,, , , , , , ,No,,,,,,No,,,0,,,,,,No,No,No,,No,No,No,No,No,No,No,No,No,"No, not in union",No,,,,,Never had intercourse,,,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,DK,Yes,Yes,No,Yes,Yes,DK / Not sure / Depends,DK / Not sure / Depends,Yes,No,Hhohho,,Never married/in union,0,0,0,1.002035485822654,Secondary,-2.55091815545924,Poorest
10,1995,18,Yes,Secondary,3,,15-19,Christianity,No,Yes,Yes,A, , , , , ,No,,,,,,No,,,0,,,,,,No,Yes,,,No,No,No,No,No,No,No,No,No,"No, not in union",No,,,,,16,,1,Yes,Yes,No,Yes,DK,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,DK / Not sure / Depends,DK / Not sure / Depends,No,Hhohho,,Never married/in union,0,0,0,1.002035485822654,Secondary,-1.524242805859224,Poorest
9,1998,16,Yes,Primary,6,Able to read whole sentence,15-19,Christianity,No,No,, , , , , , ,No,,,,,,No,,,0,,,,,,No,No,No,,No,No,No,No,No,No,No,No,No,"No, not in union",No,,,,,Never had intercourse,,,Yes,Yes,No,Yes,No,No,Yes,DK,Yes,Yes,DK,Yes,Yes,Yes,Yes,Yes,DK / Not sure / Depends,DK / Not sure / Depends,No,,Hhohho,,Never married/in union,0,0,0,1.002035485822654,Primary,-1.283493709004892,Poorest
1,1996,18,Yes,High,1,,15-19,Christianity,Yes,No,, , , , , , ,No,,,,,,No,,,0,,,,,,No,No,No,,No,Yes,Yes,No,No,No,Yes,No,No,"No, not in union",No,,,,,Never had intercourse,,,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,DK / Not sure / Depends,Yes,Yes,No,Hhohho,,Never married/in union,0,0,0,1.002035485822654,Higher,.1820691659268697,Middle
10,1995,18,Yes,Secondary,0,,15-19,Christianity,Yes,No,, , , , , , ,No,,,,,,No,,,0,,,,,,No,No,No,,No,No,No,No,No,No,No,No,No,"No, not in union",No,,,,,Never had intercourse,,,Yes,No,No,Yes,No,No,No,No,No,No,,Yes,Yes,Yes,Yes,Yes,No,No,No,,Hhohho,,Never married/in union,0,0,0,1.002035485822654,Secondary,1.179173065592311,Richest
4,1997,17,Yes,High,0,,15-19,Christianity,No,No,, , , , , , ,No,,,,,,No,,,0,,,,,,No,No,No,,No,No,No,No,No,No,No,No,No,"No, not in union",No,,,,,Never had intercourse,,,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,,Hhohho,,Never married/in union,0,0,0,.8210449932276971,Higher,-.5032548511816901,Second
6,1995,19,Yes,High,2,,15-19,Christianity,Yes,No,, , , , , , ,No,,,,,,No,,,0,,,,,,No,No,No,,No,No,No,No,No,No,No,No,No,"No, not in union",No,,,,,Never had intercourse,,,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Hhohho,,Never married/in union,0,0,0,.8210449932276971,Higher,.6755776816023738,Fourth
11,1998,15,Yes,Secondary,0,,15-19,Christianity,No,No,, , , , , , ,No,,,,,,No,,,0,,,,,,No,No,No,,No,No,No,No,No,No,No,No,No,"No, not in union",No,,,,,Never had intercourse,,,Yes,Yes,No,Yes,No,No,Yes,Yes,DK,DK,DK,Yes,Yes,Yes,Yes,Yes,DK / Not sure / Depends,DK / Not sure / Depends,No,,Hhohho,,Never married/in union,0,0,0,.8210449932276971,Secondary,-.2119585210073615,Middle
10,1998,15,Yes,Secondary,0,,15-19,Christianity,Yes,No,, , , , , , ,No,,,,,,No,,,0,,,,,,No,No,No,,No,No,No,No,No,No,No,No,No,"No, not in union",No,,,,,Never had intercourse,,,Yes,No,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,DK / Not sure / Depends,DK / Not sure / Depends,No,,Hhohho,,Never married/in union,0,0,0,.9264601691992767,Secondary,-1.400219854565279,Poorest
11,1994,19,Yes,Secondary,1,,15-19,Christianity,No,No,, , , , , , ,Yes,1,0,No,,,No,,,1,4,No,Later,Larger than average,Yes,No,Yes,,,No,No,No,No,No,No,No,No,No,"No, not in union",No,,,,,17,,2,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,,Hhohho,,Never married/in union,1,1,0,.9264601691992767,Secondary,-2.120540223753952,Poorest
3,1999,15,Yes,Secondary,1,,15-19,Christianity,Yes,Yes,Yes,A, ,C, , , ,No,,,,,,No,,,0,,,,,,No,No,No,,No,No,Yes,No,No,No,Yes,No,No,"No, not in union",No,,,,,Never had intercourse,,,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,,Hhohho,,Never married/in union,0,0,0,1.743619383029978,Secondary,1.751367254894889,Richest
2,1998,16,Yes,Secondary,1,,15-19,Christianity,Yes,Yes,Yes,A, , , , , ,No,,,,,,No,,,0,,,,,,No,No,No,,No,No,No,No,No,No,No,No,No,"No, not in union",No,,,,,Never had intercourse,,,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,DK / Not sure / Depends,DK / Not sure / Depends,No,,Hhohho,,Never married/in union,0,0,0,1.743619383029978,Secondary,1.890877524819287,Richest
1,1995,19,Yes,Secondary,2,,15-19,Christianity,Yes,Yes,Yes,A, , , , , ,Yes,0,1,No,,,No,,,1,5,No,Later,Larger than average,Yes,No,Yes,,Yes,No,No,No,No,No,No,No,No,No,"No, not in union",No,,,,,17,,1,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,DK,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Hhohho,,Never married/in union,1,1,0,1.743619383029978,Secondary,.6219319722056729,Fourth
10,1995,18,Yes,Secondary,1,,15-19,Christianity,No,Yes,Yes,A, ,C, , , ,Yes,0,1,No,,,No,,,1,9,No,Later,Very small,Yes,No,No,Yes,,No,No,No,No,No,No,Yes,No,No,"No, not in union",No,,,,,16,,4,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,Hhohho,,Never married/in union,1,1,0,.3440294161763943,Secondary,.2157997398644047,Middle
3,1998,16,Yes,Secondary,0,,15-19,Christianity,Yes,No,, , , , , , ,No,,,,,,No,,,0,,,,,,No,No,No,,No,No,No,No,No,No,No,No,No,"No, not in union",No,,,,,Never had intercourse,,,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,Hhohho,,Never married/in union,0,0,0,.3440294161763943,Secondary,.2157997398644047,Middle
7,1996,18,Yes,Primary,6,Able to read whole sentence,15-19,Christianity,Yes,No,, , , , , , ,No,,,,,,No,,,0,,,,,,No,No,No,,No,No,No,No,No,No,No,No,No,"No, not in union",No,,,,,Never had intercourse,,,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Hhohho,,Never married/in union,0,0,0,.3440294161763943,Primary,.0312682698412395,Middle
9,1994,19,Yes,Secondary,1,,15-19,Christianity,Yes,No,, , , , , , ,No,,,,,,No,,,0,,,,,,"Yes, currently pregnant",,No,,No,No,No,No,No,No,No,No,No,"No, not in union",No,,,,,19,,1,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,,Hhohho,,Never married/in union,0,0,0,.3440294161763943,Secondary,-.6697657948517611,Second
6,1997,17,Yes,Secondary,2,,15-19,Christianity,Yes,Yes,Yes,A, , , , , ,No,,,,,,No,,,0,,,,,,No,No,No,,No,No,No,No,No,No,No,No,No,"No, not in union",No,,,,,Never had intercourse,,,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,,Hhohho,,Never married/in union,0,0,0,.3440294161763943,Secondary,-.3953279007987119,Second
1,1997,17,Yes,High,0,,15-19,Christianity,Yes,No,, , , , , , ,No,,,,,,No,,,0,,,,,,No,No,No,,No,No,No,No,No,No,No,No,No,"No, not in union",No,,,,,Never had intercourse,,,Yes,Yes,No,Yes,No,No,Yes,DK,DK,DK,,Yes,Yes,Yes,Yes,No,DK / Not sure / Depends,DK / Not sure / Depends,No,,Hhohho,,Never married/in union,0,0,0,.3440294161763943,Higher,.6767787500640188,Fourth
2,1997,17,Yes,High,1,,15-19,Christianity,Yes,Yes,Yes,A, , , ,E, ,No,,,,,,No,,,0,,,,,,No,No,No,,No,No,No,No,No,No,No,No,No,"No, not in union",No,,,,,Never had intercourse,,,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,,Hhohho,,Never married/in union,0,0,0,1.036467689470608,Higher,.6884956477435054,Fourth
3,1999,15,Yes,Secondary,1,,15-19,Christianity,Yes,No,, , , , , , ,No,,,,,,No,,,0,,,,,,No,No,No,,No,No,No,No,No,No,No,No,No,"No, not in union",No,,,,,Never had intercourse,,,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,,Hhohho,,Never married/in union,0,0,0,1.036467689470608,Secondary,.6884956477435054,Fourth
12,1997,16,Yes,Secondary,0,,15-19,Christianity,No,No,, , , , , , ,No,,,,,,No,,,0,,,,,,No,Yes,,,No,No,DK,No,No,DK,DK,DK,No,"No, not in union",No,,,,,16,,1,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,DK / Not sure / Depends,No,No,,Hhohho,,Never married/in union,0,0,0,1.036467689470608,Secondary,-.6312475829233768,Second
10,1994,19,Yes,High,1,,15-19,Christianity,Yes,No,, , , , , , ,No,,,,,,No,,,0,,,,,,No,Yes,,,No,No,No,No,No,No,No,No,No,"No, not in union",No,,,,,19,,1,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,,Hhohho,,Never married/in union,0,0,0,.8256267175202625,Higher,-.8682314903143302,Second
2,1997,17,Yes,Secondary,1,,15-19,Christianity,Yes,No,, , , , , , ,No,,,,,,No,,,0,,,,,,No,No,Missing,,No,No,No,No,No,No,No,No,No,"No, not in union",No,,,,,Never had intercourse,,,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,DK / Not sure / Depends,DK / Not sure / Depends,No,,Hhohho,,Never married/in union,0,0,0,.8256267175202625,Secondary,-1.276416977219831,Poorest
5,1995,19,Yes,High,1,,15-19,Christianity,Yes,Yes,Yes,A, ,C, , , ,No,,,,,,No,,,0,,,,,,No,Yes,,,No,No,No,No,No,No,No,No,No,"No, not in union",No,,,,,18,,1,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,,Hhohho,,Never married/in union,0,0,0,.9714921581799316,Higher,-.4215010650875151,Second
4,1996,18,Yes,Secondary,1,,15-19,Christianity,Yes,No,, , , , , , ,No,,,,,,No,,,0,,,,,,No,No,No,,No,Yes,No,No,Yes,No,No,No,No,"No, not in union",No,,,,,Never had intercourse,,,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,,Hhohho,,Never married/in union,0,0,0,.9714921581799316,Secondary,.3531870132874577,Fourth
3,1998,16,Yes,High,0,,15-19,Christianity,Yes,No,, , , , , , ,No,,,,,,No,,,0,,,,,,No,No,No,,No,Yes,No,No,No,Yes,Yes,No,No,"No, not in union",No,,,,,Never had intercourse,,,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,Hhohho,,Never married/in union,0,0,0,.9714921581799316,Higher,.3531870132874577,Fourth
3,1996,18,Yes,Secondary,1,,15-19,Christianity,Yes,Yes,Yes, , ,C, , , ,No,,,,,,No,,,0,,,,,,No,No,No,,No,No,No,No,No,No,Yes,No,No,"No, not in union",No,,,,,Never had intercourse,,,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,,Hhohho,,Never married/in union,0,0,0,.8483503886446736,Secondary,1.485485778859623,Richest
6,1998,16,Yes,Secondary,2,,15-19,Christianity,No,No,, , , , , , ,No,,,,,,No,,,0,,,,,,No,No,No,,Yes,No,Yes,No,No,No,No,No,No,"No, not in union",No,,,,,Never had intercourse,,,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,,Yes,Yes,Yes,Yes,Yes,No,No,No,,Hhohho,,Never married/in union,0,0,0,.8483503886446736,Secondary,-.6106879756847901,Second
11,1998,15,Yes,Secondary,0,,15-19,Christianity,No,No,, , , , , , ,No,,,,,,No,,,0,,,,,,No,No,No,,No,No,No,No,No,No,No,No,No,"No, not in union",No,,,,,Never had intercourse,,,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,,Hhohho,,Never married/in union,0,0,0,.8483503886446736,Secondary,-.6106879756847901,Second
8,1997,16,Yes,Secondary,1,,15-19,Christianity,No,No,, , , , , , ,No,,,,,,No,,,0,,,,,,No,No,No,,Yes,Yes,No,No,No,No,No,No,No,"No, not in union",No,,,,,Never had intercourse,,,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,Hhohho,,Never married/in union,0,0,0,.8483503886446736,Secondary,-.6106879756847901,Second
9,1996,17,Yes,Secondary,2,,15-19,Christianity,No,Yes,Yes,A, , , , , ,No,,,,,,No,,,0,,,,,,No,No,No,,No,No,No,No,No,No,No,No,No,"No, not in union",No,,,,,Never had intercourse,,,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,,Hhohho,,Never married/in union,0,0,0,.8483503886446736,Secondary,-.3997323197359296,Second
4,1999,15,Yes,Primary,6,Able to read whole sentence,15-19,Christianity,No,No,, , , , , , ,No,,,,,,No,,,0,,,,,,No,No,No,,No,No,No,No,No,No,No,No,No,"No, not in union",No,,,,,Never had intercourse,,,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,DK / Not sure / Depends,DK / Not sure / Depends,No,,Hhohho,,Never married/in union,0,0,0,.8483503886446736,Primary,-.2819974772854228,Middle
9,1996,17,Yes,High,0,,15-19,Christianity,Yes,Yes,Yes,A, , , , , ,No,,,,,,No,,,0,,,,,,No,No,Missing,,No,No,No,No,No,No,No,No,No,"No, not in union",No,,,,,Never had intercourse,,,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,,Hhohho,,Never married/in union,0,0,0,1.058463837102706,Higher,.5939473835191385,Fourth
12,1995,18,Yes,High,0,,15-19,Christianity,Yes,No,, , , , , , ,Yes,1,0,No,,,No,,,1,2,No,Later,Very large,Yes,No,Yes,,No,No,No,No,No,No,No,No,No,No,"Yes, currently married",,,6,2010,,15,,2,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Hhohho,14,Currently married/in union,1,1,0,1.058463837102706,Higher,-.3425373351089319,Second
11,1994,19,Yes,Secondary,2,,15-19,Christianity,Yes,No,, , , , , , ,Yes,0,1,No,,,No,,,1,10,No,Later,Average,Yes,No,No,Yes,,No,No,No,No,No,No,No,No,No,"Yes, living with a man",,,1,2012,,16,,2,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,,Hhohho,17,Currently married/in union,1,1,0,1.058463837102706,Secondary,.2589472071968221,Middle
